State,Lead_Content,Standalone_Galvanized,Not_Lead_or_Galvanized,Total,%_Total_with_lead
Alabama,88408.67,29444.27,1780378.06,1898231,4.70%
Alaska,1084.02,2786.56,109869.43,113740,1.00%
Arizona,11532.41,40371.75,2029826.84,2081731,0.60%
Arkansas,169026.33,47823.17,1002407.51,1219257,13.90%
California,13839.65,208288.19,9439342.16,9661470,0.10%
Colorado,110846.79,3207.64,1551249.57,1665304,6.70%
Connecticut,52774.28,6373.63,660988.09,720136,7.30%
Delaware,34308.87,15985.07,252094.06,302388,11.30%
District of Columbia,65801.49,1961.64,72236.87,140000,47.00%
Florida,1014951.66,1099138.6,4515067.74,6629158,15.30%
Georgia,234072.52,65176.52,2960703.96,3259953,7.20%
Hawaii,8410.2,2863.84,270977.95,282252,3.00%
Idaho,41545.08,39148.07,406941.85,487635,8.50%
Illinois,1071354.98,43539.58,2624370.44,3739265,28.70%
Indiana,263247.18,5520.84,1606765.98,1875534,14.00%
Iowa,98229.64,11984.01,1002494.35,1112708,8.80%
Kansas,69407.84,55751.78,919410.38,1044570,6.60%
Kentucky,120963.4,54343.08,1428146.52,1603453,7.50%
Louisiana,266933.06,21418.94,1408655,1697007,15.70%
Maine,16179.29,12630.25,242469.46,271279,6.00%
Maryland,97543.12,43277.73,1317163.15,1457984,6.70%
Massachusetts,190674.04,35568.06,1594070.9,1820313,10.50%
Michigan,245236.11,7497.26,2432742.63,2685476,9.10%
Minnesota,359012.46,8549.47,1030315.07,1397877,25.70%
Mississippi,11325.54,14675.94,1197648.52,1223650,0.90%
Missouri,162385.85,16715.33,1792223.83,1971325,8.20%
Montana,10736.98,25203,236948.02,272888,3.90%
Nebraska,46821.73,2273.03,548831.24,597926,7.80%
Nevada,6783.11,2427.49,815878.4,825089,0.80%
New Hampshire,14148.53,2287.68,261246.79,277683,5.10%
New Jersey,527685.61,191249.52,1711369.87,2430305,21.70%
New Mexico,6229.78,7459.39,617402.83,631092,1.00%
New York,555696.42,15924.55,2992417.02,3564038,15.60%
North Carolina,311173.13,92928.76,2752174.11,3156276,9.90%
North Dakota,22655.97,1048.81,210199.22,233904,9.70%
Ohio,809989.93,26285.96,2782462.11,3618738,22.40%
Oklahoma,28865.94,6803.72,1343164.34,1378834,2.10%
Oregon,3883.07,15422.73,1152122.2,1171428,0.30%
Pennsylvania,662716.77,57306.37,3039291.86,3759315,17.60%
Puerto Rico,45284.34,15359.64,1416970.02,1477614,3.10%
Rhode Island,62324.15,510.08,242162.77,304997,20.40%
South Carolina,103469.24,25394.36,1680419.4,1809283,5.70%
South Dakota,7100.67,1868.64,279800.69,288770,2.50%
Tennessee,351767.85,94181.58,2323791.57,2769741,12.70%
Texas,24842.52,20355.3,12946246.18,12991444,0.20%
Utah,19181.14,23511.94,844286.92,886980,2.20%
Vermont,4934,4322.02,157335.98,166592,3.00%
Virginia,187187.47,77547.67,1923358.86,2188094,8.60%
Washington,22495.26,180916.86,2347999.88,2551412,0.90%
West Virginia,20592.02,10160.16,633686.81,664439,3.10%
Wisconsin,343834.33,15919.12,1162753.55,1522507,22.60%
Wyoming,12380.35,4586.72,161034.92,178002,7.00%
